TITLE,TOTAL_HOURS,CATEGORY,Ingredients,Protein_g,KCal,Fat_g,Carbs_g,Iron_mg,Fiber_g
Chole Rice,1,Lunch,"Chickpeas, Rice, Onion, Tomatoes, Ginger, Garlic, Cumin, Turmeric, Chili Powder, Chole Masala, Oil, Salt",15,410,7,70,4.8,11.5
Chole Rice,1,Dinner,"Chickpeas, Rice, Onion, Tomatoes, Ginger, Garlic, Cumin, Turmeric, Chili Powder, Chole Masala, Oil, Salt",15,410,7,70,4.8,11.5
Dal Makhani,1,Lunch,"Whole Urad Dal, Rajma, Cream, Butter, Tomatoes, Ginger, Garlic, Chili Powder, Garam Masala, Salt, Oil",18,460,24,45,6.2,10.0
Dal Makhani,1,Dinner,"Whole Urad Dal, Rajma, Cream, Butter, Tomatoes, Ginger, Garlic, Chili Powder, Garam Masala, Salt, Oil",18,460,24,45,6.2,10.0
Grilled Soja Hummus,1,Lunch,"Soya, Hummus, Olive Oil, Garlic, Lemon, Red Paprika Chilli, Salt",22,380,20,28,4.5,8.0
Grilled Soja Hummus,1,Dinner,"Soya, Hummus, Olive Oil, Garlic, Lemon, Red Paprika Chilli, Salt",22,380,20,28,4.5,8.0
Grilled Soja Hummus,1,Snack,"Soya, Hummus, Olive Oil, Garlic, Lemon, Red Paprika Chilli, Salt",22,380,20,28,4.5,8.0
Grilled Soja Hummus,1,Breakfast,"Soya, Hummus, Olive Oil, Garlic, Lemon, Red Paprika Chilli, Salt",22,380,20,28,4.5,8.0
Pithla Bhakari,1.5,Lunch ,"Gram Flour, Onion, Green Chilies, Turmeric, Mustard Seeds, Cumin Seeds, Garlic, Salt, Oil, Jowar Flour",12,340,10,52,3.5,7.5
Pithla Bhakari,1.5,Dinner,"Gram Flour, Onion, Green Chilies, Turmeric, Mustard Seeds, Cumin Seeds, Garlic, Salt, Oil, Jowar Flour",12,340,10,52,3.5,7.5
Palak Paneer,1.5,Lunch ,"Paneer, Spinach, Onion, Tomatoes, Ginger, Garlic, Green Chilies, Cream, Turmeric, Cumin, Garam Masala, Salt, Oil",19,400,26,20,5.8,6.5
Palak Paneer,1.5,Dinner,"Paneer, Spinach, Onion, Tomatoes, Ginger, Garlic, Green Chilies, Cream, Turmeric, Cumin, Garam Masala, Salt, Oil",19,400,26,20,5.8,6.5
Besan Chilla,1,Breakfast,"Gram Flour, Onion, Green Chilies, Turmeric, Cumin, Salt, Coriander Leaves, Oil, Tomatoes",10,260,12,28,3.2,5.0
Besan Chilla,1,Lunch,"Gram Flour, Onion, Green Chilies, Turmeric, Cumin, Salt, Coriander Leaves, Oil, Tomatoes",10,260,12,28,3.2,5.0
Besan Chilla,1,Dinner,"Gram Flour, Onion, Green Chilies, Turmeric, Cumin, Salt, Coriander Leaves, Oil, Tomatoes",10,260,12,28,3.2,5.0
Besan Chilla,1,Snack,"Gram Flour, Onion, Green Chilies, Turmeric, Cumin, Salt, Coriander Leaves, Oil, Tomatoes",10,260,12,28,3.2,5.0
Pudina Sandwich,1,Breakfast,"Bread, Coriander, Mint, Lemon, Chat Masala, Butter, Salt",6,280,14,35,1.8,3.0
Pudina Sandwich,1,Lunch,"Bread, Coriander, Mint, Lemon, Chat Masala, Butter, Salt",6,280,14,35,1.8,3.0
Pudina Sandwich,1,Dinner,"Bread, Coriander, Mint, Lemon, Chat Masala, Butter, Salt",6,280,14,35,1.8,3.0
Pudina Sandwich,1,Snack,"Bread, Coriander, Mint, Lemon, Chat Masala, Butter, Salt",6,280,14,35,1.8,3.0
Dosa,1,Breakfast,"Dosa Batter, Sambhar Masala, Green Chutney ",8,320,8,58,2.8,5.5
Dosa,1,Lunch,"Dosa Batter, Sambhar Masala, Green Chutney ",8,320,8,58,2.8,5.5
Dosa,1,Dinner,"Dosa Batter, Sambhar Masala, Green Chutney ",8,320,8,58,2.8,5.5
Idli,1,Breakfast,"Dosa Batter, Sambhar Masala, Green Chutney ",7,280,6,52,2.5,4.5
Idli,1,Lunch,"Dosa Batter, Sambhar Masala, Green Chutney ",7,280,6,52,2.5,4.5
Idli,1,Dinner,"Dosa Batter, Sambhar Masala, Green Chutney ",7,280,6,52,2.5,4.5
Sabudana Khichdi,1,Breakfast,"Sabudana, Potato, Peanuts, Green Chilies, Cumin Seeds, Salt, Ghee, Lemon, Coriander Leaves",5,340,16,48,1.5,2.5
Sabudana Khichdi,1,Lunch,"Sabudana, Potato, Peanuts, Green Chilies, Cumin Seeds, Salt, Ghee, Lemon, Coriander Leaves",5,340,16,48,1.5,2.5
Sabudana Khichdi,1,Dinner,"Sabudana, Potato, Peanuts, Green Chilies, Cumin Seeds, Salt, Ghee, Lemon, Coriander Leaves",5,340,16,48,1.5,2.5
Tacos,1,Breakfast,"Taco Shells, Kidney Beans, Tomatoes, Onion, Cheese, Sour Cream, Salsa, Avacado",14,420,22,42,3.8,9.0
Tacos,1,Lunch,"Taco Shells, Kidney Beans, Tomatoes, Onion, Cheese, Sour Cream, Salsa, Avacado",14,420,22,42,3.8,9.0
Tacos,1,Dinner,"Taco Shells, Kidney Beans, Tomatoes, Onion, Cheese, Sour Cream, Salsa, Avacado",14,420,22,42,3.8,9.0
Jam Sandwich,0.5,Breakfast,"Bread, Fruit Jam",4,240,4,46,1.2,2.0
Jam Sandwich,0.5,Lunch,"Bread, Fruit Jam",4,240,4,46,1.2,2.0
Jam Sandwich,0.5,Dinner,"Bread, Fruit Jam",4,240,4,46,1.2,2.0
Jam Sandwich,0.5,Snack,"Bread, Fruit Jam",4,240,4,46,1.2,2.0
Peanut Sandwich,0.5,Breakfast,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
Peanut Sandwich,0.5,Lunch,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
Peanut Sandwich,0.5,Dinner,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
Peanut Sandwich,0.5,Snack,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
White Sauce Pasta,1,Lunch,"Pasta, Butter, Flour 405, Milk, Garlic, Black Pepper, Salt, Cheese, Capsicum, Borocolli, Corn",14,480,20,58,2.5,5.0
White Sauce Pasta,1,Dinner,"Pasta, Butter, Flour 405, Milk, Garlic, Black Pepper, Salt, Cheese, Capsicum, Borocolli, Corn",14,480,20,58,2.5,5.0
Red Sauce Pasta,1,Lunch,"Pasta, Butter, Flour 405, Milk, Garlic, Black Pepper, Salt, Cheese, Capsicum, Borocolli, Corn, Tomatoes",13,460,18,60,3.2,6.0
Red Sauce Pasta,1,Dinner,"Pasta, Butter, Flour 405, Milk, Garlic, Black Pepper, Salt, Cheese, Capsicum, Borocolli, Corn, Tomatoes",13,460,18,60,3.2,6.0
Hakka Noodles,1,Lunch,"Noodles, Cabbage, Carrot, Capsicum, Onion, Soy Sauce, Vinegar, Schezwan Chutney, Black Pepper, Salt, Oil",9,380,12,62,2.8,5.5
Hakka Noodles,1,Dinner,"Noodles, Cabbage, Carrot, Capsicum, Onion, Soy Sauce, Vinegar, Schezwan Chutney, Black Pepper, Salt, Oil",9,380,12,62,2.8,5.5
Lasagna,2,Lunch,"Lasagna Sheets, Tomatoes, Cheese, White Sauce, Vegetables, Garlic, Onion, Olive Oil, Salt, Black Pepper",16,520,26,52,3.5,6.5
Lasagna,2,Dinner,"Lasagna Sheets, Tomatoes, Cheese, White Sauce, Vegetables, Garlic, Onion, Olive Oil, Salt, Black Pepper",16,520,26,52,3.5,6.5
Pizza,0.5,Lunch,Frozen Pizza,12,380,16,44,2.2,3.0
Pizza,0.5,Dinner,Frozen Pizza,12,380,16,44,2.2,3.0
Pizza,0.5,Snack,Frozen Pizza,12,380,16,44,2.2,3.0
Spring Roll,0.5,Breakfast,Frozen Spring Rolls,6,280,14,32,1.8,3.5
Spring Roll,0.5,Snack,Frozen Spring Rolls,6,280,14,32,1.8,3.5
Spring Roll,0.5,Breakfast,Frozen Spring Rolls,6,280,14,32,1.8,3.5
Spring Roll,0.5,Dinner,Frozen Spring Rolls,6,280,14,32,1.8,3.5
